Potiron, cru;19,9;84,2;91,6;1;3,5;0,1;1,36;1;0,5;0,052;0,013;0;0,0025;21;-;0,13;0,8;-;12;0,13;44;340;-;1;0,32;0;3100;0;1,06;1,1;-;9;0,05;0,11;0,6;0,3;0,061;16;0
Radis rouge, cru;11,4;47,8;95,9;0,76;1,24;0,1;1,24;0;1,1;traces;0,015;0;0,077;32;61;0,019;0,27;1;12,6;0,044;24,1;294;< 10;30,7;0,12;0;4;0;0,01;1,3;-;27,5;0,021;0,035;0,26;0,18;0,067;21,8;0
Tomate, crue;18,4;77,2;94,1;0,86;2,26;0,26;2,25;0;1,2;0,056;0,035;0;0,0081;8,14;51;0,029;0,12;0,2;10,1;0,066;26,6;256;< 10;3,22;0,087;0;449;0;0,66;7,9;-;15,5;0,039;0,019;0,65;0,21;0,082;22,7;0
Artichaut, cru;45,7;191;84,9;3,1;5,02;0,18;0,99;0,6;5,4;0,036;0,005;0;0,15;52;-;0,23;1,19;0,5;47,8;0,26;81,2;387;0,23;60,5;0,49;0;8;0;0,27;14,8;-;11,7;0,081;0,063;1,05;0,32;0,11;68;0
Aubergine, crue;21,2;88,6;92,9;1,12;2,39;0,14;2,39;-;2,7;0,034;0,016;0;0,0063;8,7;-;0,081;0,32;0,15;12;0,24;27,2;235;0,2;2,5;0,16;0;14;0;0,17;3,5;-;2,1;0,045;0,034;0,72;0,25;0,082;24,5;0
Cardon, cru;13,6;56,7;94;0,66;1,7;0,1;1,5;0,2;1,6;0,011;0,018;0;0,3;70;-;0,23;0,7;0,095;42;0,26;23;400;0,2;170;0,17;0;-;0;0,19;-;-;2;0,02;0,03;0,3;0,34;0,12;68;0
C‚leri-rave, cru;32,4;136;88,6;1,5;4,3;0,2;3,6;< 0,5;3,7;0,043;0,021;0;0,2;25,9;-;0,061;0,24;< 10;11,3;0,09;76;343;< 10;81,7;0,18;0;< 50;0;0,1;70,5;-;2;< 0,05;0,05;0,91;0,64;0,17;86,4;0
Champignon de Paris ou champignon de couche, cru;21,1;88,8;93,9;2,62;1,33;0,36;1,06;0,085;1;0,067;0,012;0;0,098;6,03;61;0,35;0,31;1;10,5;0,076;96,6;364;6,47;39;0,5;0;0;0,3;0,02;0;-;3,09;0,073;0,29;5;1,57;0,1;34,5;0
Brocoli, cru;35,9;151;88,9;3,95;1,68;0,48;1,68;0;2,9;0,061;0,022;0;0,048;45,9;89;0,059;0,76;0,8;21,9;0,4;76,5;357;0,6;19;0,4;0;361;0;1,04;181;-;106;0,074;0,12;0,82;0,78;0,17;153;0
Chou de Bruxelles, cru;50,1;210;85;3,98;5,67;0,4;2,2;1;3,95;0,07;0,019;0;0,041;32,3;-;0,062;1,15;0,25;23,5;0,3;76,4;436;1,1;16,5;0,43;0;450;0;0,89;214;-;103;0,13;0,13;0,77;0,52;0,25;95,5;0
pinard, cru;28,7;120;91,6;2,62;2,25;0,5;0,32;1,93;2,37;0,064;0,021;0;0,16;114;98;0,1;3,61;3,4;52,5;1,3;45,2;504;0,1;66,7;0,82;0;5630;0;2,47;521;-;41,1;0,087;0,21;0,71;0,18;0,21;207;0
Haricot vert, cru;31;130;90,4;1,85;3,85;0,21;3,03;0,82;2,85;0,06;0,0085;0;0,0096;48,5;16;0,063;1,02;0,8;21;0,23;38,5;224;0,3;3,85;0,32;0;379;0;0,36;14,4;-;13,6;0,086;0,11;0,72;0,14;0,12;48,5;0
Navet, pel‚, cru;26,8;113;91,9;0,82;4,7;0,1;3,8;0,69;1,9;0,011;0,006;0;0,11;40;-;0,063;0,4;0,5;9,5;0,1;38,5;237;1,25;42;0,25;0;0;0;0,03;0,1;-;18,5;0,04;0,038;0,7;0,2;0,085;17,5;0
Chou-rave, cru;25,1;105;91;1,79;2,35;0,1;2,35;-;3,6;0,013;0,007;0;0,05;24;-;0,13;0,4;0,71;19;0,14;46;350;0,47;20;0,03;0;22;0;0,48;0,1;-;55,1;0,05;0,02;0,4;0,17;0,15;16;0
